,ctrnum,ctryear,country,year,wave,ctrwave,CulZon,EVI,EVI_short,EVI_culmap,SVI,SVI_short,SVI_culmap,EV_choice,EV_voice,EV_equality,EV_autonomy,SV_disbelief,SV_defiance,SV_skepticism,SV_relativism,SMA,InfCon,PerSti,CogMob,IndEmp1,IndEmp2,CWI,LibUnd,NolUnd,EnlUnd,PerDem,DemDes,EnlDes,MobPot,PerFai,StaTru,IngTru,OutTru,UnsTru,GenTru,AssAct1,AssAct2,AssAct3,AssAct,FinSat,PerHea,PerCho,Happy,LifSat,WilFig,cname,ccode,ccodealp,cname_year,ccodealp_year,ccodecow,ccodewb,ccodeyear,latest
10,7.0,72013.0,Argentina,2013.0,2010-2014,76.0,Latin America,0.5288385063560329,0.5957912764874324,1.4282426600295508,0.4451209270109956,0.3800798067141316,-0.5183748161957413,0.4985836712625052,0.4348423517786566,0.7125235082508222,0.4783171521035612,0.4869942918965693,0.2722778942213524,0.6816357972440914,0.3390993747943394,0.24644086506345958,0.6107649705780547,0.4498575498575495,0.5114109206888322,0.4735145595392849,0.4530971613891682,0.23089708651556237,0.7999373580768963,0.3972884303727418,0.700312410079336,0.6103410341034116,0.8503979936757207,0.6068923136410088,0.5602471356312092,0.4904825143868974,0.2319277108433735,0.7631711353856264,0.4790842490842513,0.362080766598221,0.49208403397576855,0.09477442388834792,0.2604878048780488,0.062256809338521395,0.10402966279557832,0.6050712808793133,0.651041666666666,0.7086223984142755,0.7268563951586501,0.7196078431372602,0.44395604395604393,,,,,,,,,1.0
11,8.0,81997.0,Armenia,1997.0,1994-1999,83.0,Orthodox East,0.339387725984962,0.34910922559064345,-1.0855854915589744,0.4730883754420252,0.40656113663827675,0.6194524388633073,0.31346315975912475,0.22647881704260808,0.3847231409282734,0.43250000000000244,0.41393700074493717,0.3990848682877423,0.5487212043119377,0.5298620805934903,0.2829687542258286,,,,,0.42511980189149234,0.2386691947347792,,,,,,,,,0.24684873949579833,,,,,0.5160833333333323,0.4865,0.5059166666666659,0.507499999999999,0.29167365654532235,0.6179859719438878,0.5176109373189678,0.5135044064282017,0.3686944863415449,0.8036236119228521,Armenia,51.0,ARM,Armenia 1997,ARM97,371.0,51.0,511997.0,
12,8.0,82011.0,Armenia,2011.0,2010-2014,86.0,Orthodox East,0.2900694716265267,0.31728438219797944,-0.5816691307331525,0.3001261202861956,0.23818457878787874,-0.9441495850473283,0.13319865633074965,0.165189915966387,0.49775655130540314,0.35757575757575816,0.2794703841876441,0.19535975297346847,0.4761525460793528,0.25488980213089796,0.09610135340632582,0.3810763888888896,0.42320876180921313,0.3412048465395623,0.36765611946107934,0.3655988649871112,0.2386691947347792,0.7943885612980328,0.49542641915523283,0.6474510897346529,0.3242082662372527,0.839949590422184,0.5496318091946505,0.552563925733377,0.4542763505656,0.10138248847926268,0.7460696517412839,0.2579404881310616,0.27815242988653455,0.3469154907308596,0.01515151515151515,0.023636363636363636,0.027272727272727282,0.02155844155844157,0.36267961951022193,0.42531876138433444,0.5955681579500129,0.6941391941391906,0.4695863746958653,0.762303664921466,Armenia,51.0,ARM,Armenia 2011,ARM11,371.0,51.0,512011.0,1.0
13,9.0,91981.0,Australia,1981.0,1981-1984,91.0,New West,,0.44887251401984424,,0.3631257461873643,0.34979595431472393,,0.3738808775497641,,,0.3224755700325734,0.399611920529801,0.2866317657497755,0.38457102480239685,0.392171609006041,0.38563058968059116,,,,,,0.48810928258600716,,,,,,,,,0.4819175777964676,,,,,0.07288273615635188,0.18403908794788273,0.06813246471226932,0.08672638436482041,0.6445540935672538,0.7569274653626732,0.6779427942794335,0.7644426229508153,0.7660866412905641,0.75,Australia,36.0,AUS,Australia 1981,AUS81,900.0,36.0,361981.0,
14,9.0,91995.0,Australia,1995.0,1994-1999,93.0,New West,0.560602697994024,0.5648763673003484,1.0106541457929712,0.3995681725741373,0.42549455626084964,-0.11045087880739278,0.45539356435643946,0.6076894840294819,0.6779624312377205,0.5030924479166627,0.5328467448298287,0.3181690919483937,0.45364623502379997,0.29380502528960717,0.4947334557023941,,,,,0.5497740530981724,0.48810928258600716,,,,,,,,,0.4004938271604938,,,,,0.22366487016168474,0.341552734375,0.16144558655571858,0.21372521544174355,0.6001745486281606,0.774181729360039,0.7313809367116509,0.7855386875612257,0.7314042831453469,0.7461497610196495,Australia,36.0,AUS,Australia 1995,AUS95,900.0,36.0,361995.0,
15,9.0,92005.0,Australia,2005.0,2005-2007,95.0,New West,0.5872772127051431,0.6386054829817568,1.4209551841110986,0.42006154925137784,0.4854873844648018,0.2370566249171482,0.5662584854306784,0.4999058147882278,0.7193737793594269,0.5702556884822882,0.5932623979511386,0.37869938963804095,0.3756973361823327,0.33221825113176073,0.5051433309726147,0.5520912547528517,0.574060139899118,0.5794491918322491,0.5962740296264446,0.6001445345195562,0.48810928258600716,0.8430439301931232,0.3488850957760966,0.7476869113707303,0.6820943245403721,0.8966204367926086,0.6801686014372587,0.57662740570959,0.5989410463094699,0.48182466143977193,0.7692048710601634,0.5437874396135267,0.5409672262190286,0.5821162841890931,0.18754833720030928,0.30808823529411766,0.14594525454080318,0.18286830357142903,0.5999206349206373,0.7510623229461756,0.7430851904536176,0.756114649681526,0.7004728132387767,0.627855563743552,Australia,36.0,AUS,Australia 2005,AUS05,900.0,36.0,362005.0,
16,9.0,92012.0,Australia,2012.0,2010-2014,96.0,New West,0.5818654851141346,0.6854494156350668,2.0525152212119306,0.35725141800922927,0.43484327659807154,-0.38951027706599606,0.6156024978466866,0.3782993055555573,0.7588355229649818,0.5761679079214597,0.6333258032265366,0.2372447192029002,0.3311340353292056,0.22937511353315151,0.49909660472585426,0.6868019890763838,0.5868823855975904,0.6300683381863376,0.6487851929745724,0.6116812422691413,0.48810928258600716,0.841614182411946,0.3181147604627672,0.7617709065354905,0.6671293083506874,0.9013370216689761,0.6967476343261045,0.629961141277275,0.6135598408325723,0.5443383356070941,0.7802462121212037,0.5318427989456034,0.5803921568627476,0.5903411813300297,0.2065446868402535,0.3033863165169316,0.1526019690576653,0.19581019687026802,0.6238671845251715,0.6807736063708725,0.7563018810448637,0.7677595628415265,0.7091503267973926,0.6386962552011096,Australia,36.0,AUS,Australia 2012,AUS12,900.0,36.0,362012.0,1.0
17,10.0,101990.0,Austria,1990.0,1989-1993,102.0,Old West,0.4895523096692737,0.42832736633842705,,0.41219877586206866,0.4079778318556614,,0.3281233103305696,0.49781106060606184,,0.5416091954022967,0.39211481226053413,0.4262505494505477,0.4905231627478069,0.3360597701149423,0.29740335890283665,,,,,,0.48628530047322654,,,,,,,,,0.31821675634127594,,,,,,,,,0.652948044366613,0.6733171408743928,0.7320171411080557,0.7275999999999946,0.7637459010142693,0.6625119846596357,Austria,40.0,AUT,Austria 1990,AUT90,305.0,40.0,401990.0,
18,10.0,101999.0,Austria,1999.0,1999-2004,104.0,Old West,0.5522152330567337,0.4914756714910314,,0.4164719373833377,0.4223906733070345,,0.4687654153475066,0.5196250205761325,,0.5838264299802727,0.4003924608402839,0.4495788712011555,0.44037329558072197,0.3746292855562924,0.3641834106984984,,,,,0.4375060381534918,0.48628530047322654,,,,,,,,,0.3342756183745583,,,,,,,,,,,0.7190234576071816,0.7484007962840078,0.7807807807807903,0.5539334955393349,Austria,40.0,AUT,Austria 1999,AUT99,305.0,40.0,401999.0,
19,11.0,111997.0,Azerbaij.,1997.0,1994-1999,113.0,Orthodox East,0.3355262713562896,0.3368070604643065,-0.9747768693009086,0.4238309556395188,0.34324170385614244,0.10817273538465708,0.2643103910528962,0.17393299646286126,0.40655152496626296,0.4956709956709934,0.3474628608567811,0.3375843634840869,0.51404357030841,0.501539184397162,0.1624121565578025,,,,,0.3889703465800246,0.2190830284363567,,,,,,,,,0.20527704485488127,,,,,0.022061272061272053,0.02922077922077922,0.07151182151182159,0.044277151420008154,0.3952937193160673,0.6640820410205103,0.5123456790123467,0.621639511201632,0.488085130469238,0.9713375796178344,Azerbaijan,31.0,AZE,Azerbaijan 1997,AZE97,373.0,31.0,311997.0,
20,11.0,112011.0,Azerbaij.,2011.0,2010-2014,116.0,Orthodox East,0.3396788818658974,0.26552288016559455,-1.2116079908146906,0.3333293145191104,0.3838542747837663,0.08859240932223643,0.15986545427663246,0.2701182035928146,0.37118030605455815,0.5575515635395895,0.5936515857174532,0.17377419247419326,0.4096373918829025,0.1563539587491684,0.04095143047238857,0.4907407407407408,0.5143384854670953,0.4015326985515699,0.40548873549139675,0.38394596572287526,0.2190830284363567,0.696606786427148,0.4618910327493152,0.6173578768389139,0.5452428476380576,0.7818806830782914,0.4825164485843115,0.46561338161462873,0.48502994011976114,0.16649537512846865,0.6090097348103366,0.2796363636363641,0.326424574626014,0.3511911192960924,0.016633399866932803,0.0249500998003992,0.05938123752495005,0.036142001710864034,0.5116666666666669,0.5795076513639399,0.697050343756932,0.6859614105123074,0.6378354402306524,0.6684607104413348,Azerbaijan,31.0,AZE,Azerbaijan 2011,AZE11,373.0,31.0,312011.0,1.0
21,13.0,132014.0,Bahrain,2014.0,2010-2014,136.0,Islamic East,0.3740810920833331,0.2892742312345677,-1.1773538393406147,0.3814448800154314,0.2721163337962969,-0.3163584250992311,0.16710292527723827,0.4483847187237621,0.4095654082207206,0.47000000000000036,0.2258851898148151,0.3183474777777786,0.39887102348993314,0.5818275000000039,0.11421526175687786,0.6202721288928194,0.5749665327978585,0.5229829462551443,0.45001857833547826,0.3519567510105493,0.2514755757012311,0.4409156205108991,0.4270298846285412,0.5068366418916797,,0.6909344490934489,0.3496386502617046,,0.574027191748712,0.34183673469387754,0.6407398101619188,0.4685160390516076,0.45852424589538143,0.49394328904294144,0.196388888888889,0.18875,,,0.6157681813905355,0.6403582423733527,0.6529642058165562,0.6273690078037867,0.643812709030102,0.509963768115942,,,,,,,,,1.0
22,14.0,141996.0,Banglad.,1996.0,1994-1999,143.0,Indic East,0.38781729945055,0.3565279211498994,,0.191973748414093,0.14515070601092897,,,0.3130084940554841,0.424833150809949,0.5071038251366072,0.10492243497267702,0.18518565616798005,0.44922773205304123,0.04040411413404111,0.32402458100558756,,,,,0.3875941089747145,0.15623706400303417,,,,,,,,,0.20911528150134048,,,,,0.10928961748633902,0.28688524590163933,0.10524590163934436,0.13292740046838336,0.5631750258914064,0.6157377049180328,0.591484252332133,0.6663660302830754,0.6006828471758364,0.8863468634686347,Bangladesh,50.0,BGD,Bangladesh 1996,BGD96,771.0,50.0,501996.0,
23,14.0,142002.0,Banglad.,2002.0,1999-2004,144.0,Indic East,0.3327896104494894,0.188720793851853,-1.6157559902564818,0.18779669693375825,0.15425247966666636,-1.070341932671485,0.03405704298676185,0.30756808743169467,0.34045967293907153,0.6473333333333267,0.13676851901267428,0.17136972648432375,0.43422699582754065,0.020689570824994438,0.21213231194424473,,,,,0.32123386880225757,0.15623706400303417,,,,,,,,,0.23533378287255563,,,,,,,,,0.5073600836882642,0.6628256513026052,0.5169944789510041,0.6293190921228284,0.5308391555856091,0.9581464872944694,Bangladesh,50.0,BGD,Bangladesh 2002,BGD02,771.0,50.0,502002.0,1.0
24,16.0,161990.0,Belarus,1990.0,1989-1993,162.0,Orthodox East,0.413847324648682,0.425516952194649,,0.5279402635256906,0.5353018368028098,,0.32186403606826186,0.38169852226720785,,0.3865353037766824,0.6702119621263946,0.4128518518518513,0.5731386739058861,0.4536593552675306,0.30944988505747234,,,,,,0.3844506365702799,,,,,,,,,0.2547642928786359,,,,,,,,,0.4465429644356092,0.5383848454636092,,0.4825283797729635,0.5020453289110016,0.919908466819222,Belarus,112.0,BLR,Belarus 1990,BLR90,370.0,112.0,1121990.0,
25,16.0,161996.0,Belarus,1996.0,1994-1999,163.0,Orthodox East,0.3560616655748235,0.39424691631087655,-0.8344347684304815,0.49800281914416783,0.4766085759149067,0.9921053761257559,0.341294062257674,0.2910926310679623,0.44745375347392563,0.3444869343530905,0.4912195816084269,0.46780266732935644,0.4911016674800678,0.5375396591281542,0.19018034043239893,,,,,0.36541337017110787,0.3844506365702799,,,,,,,,,0.24074074074074073,,,,,0.017049075844486936,0.050908221797323135,0.0827756532823449,0.0500546298825453,0.25201947252982404,0.506837811900192,0.46655443322110074,0.4678217821782205,0.3720506220506221,0.8779795686719637,Belarus,112.0,BLR,Belarus 1996,BLR96,370.0,112.0,1121996.0,
26,16.0,162000.0,Belarus,2000.0,1999-2004,164.0,Orthodox East,0.41188684786678087,0.4685713648607286,,0.5769689738300008,0.5288462775061473,,0.4177535965717791,0.29921871244635395,,0.36013400335008394,0.641814684471489,0.43040714285714227,0.4990525348675018,0.7097475795297365,0.17727768651608464,,,,,0.38449689874406917,0.3844506365702799,,,,,,,,,0.4185022026431718,,,,,,,,,,,0.5116833571769207,0.5578516057585882,0.42385553255118574,0.8443396226415094,Belarus,112.0,BLR,Belarus 2000,BLR00,370.0,112.0,1122000.0,
